CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
30146,RES 107E,RES,LS,Technical Drawing,,Mehmet Murat Sunar,FEB | FEB,Çarşamba | Perşembe,10:30/13:29 | 10:30/13:29,,40,40,,"END, ENDE, FIZ, FIZE, GID, GIDE, ISL, ISLE, KMM, KMME, MET, METE, PETE",,
30147,FIZ 201,FIZ,LS,Modern Fizik,,Mehmet Murat Sunar,FEB | FEB,Çarşamba | Perşembe,14:30/17:29 | 14:30/17:29,,50,48,,"CHZ, DEN, EHB, ELE, ELH, ELK, FIZM, GEM, JEF, JEO, KOM, MAD, MET, MTO, PET, TEL, UCK, UCKM, UZB",,
30148,FIZ 241E,FIZ,LS,Symblc & Numrc Tchnqs in Physc,,Tolga Birkandan,FEB | FEB,Perşembe | Cuma,08:30/11:29 | 08:30/11:29,,30,31,,"FIZ, FIZE",,
30149,FIZ 272E,FIZ,LS,Computatnl Methods in Physics,,Tolga Birkandan,FEB | FEB,Perşembe | Cuma,13:30/17:29 | 13:30/17:29,,30,49,,"FIZ, FIZE, FIZM",,
30150,FIZ 233E,FIZ,LS,Electronics I,,Ali Gelir,FEB | FEB,Pazartesi | Salı,14:30/17:29 | 14:30/17:29,,40,40,,"FIZ, FIZE",,
30151,FIZ 374E,FIZ,LS,Methods of Experim.Physics I,,Ali Gelir,FEB | FEB | FEB,Pazartesi | Salı | Çarşamba,08:30/11:29 | 08:30/11:29 | 09:30/11:29,,20,14,,"FIZ, FIZE",,
30153,MTR 101,MTR,LS,Makam Teorisi I,,Eren Özek,TMB | TMB | TMB | TMB | TMB,Pazartesi | Salı | Çarşamba | Perşembe | Cuma,15:30/17:29 | 09:30/12:29 | 09:30/12:29 | 13:30/15:29 | 13:30/15:29,,25,13,,"MTR, MUT, MUZ, SES",,
30154,ING 101,ING,LS,English I,,Aslı Özkara,MEDB | MEDB,Salı | Çarşamba,08:30/11:29 | 08:30/11:29,,20,17,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30155,ING 101,ING,LS,English I,,Aslı Özkara,MEDB | MEDB,Salı | Çarşamba,11:30/14:29 | 11:30/14:29,,20,15,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30157,ING 102,ING,LS,English II,,Sabiha Bahar Arıcı,MEDB | MEDB,Pazartesi | Salı,08:30/11:29 | 08:30/11:29,,20,23,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30158,MTR 202,MTR,LS,Makam Teorisi IV,,Eren Özek,TMB | TMB | TMB | TMB | TMB,Pazartesi | Salı | Çarşamba | Perşembe | Cuma,10:30/12:29 | 13:30/15:29 | 15:30/17:29 | 09:30/12:29 | 09:30/12:29,,25,12,,"MTR, MUT, MUZ, SES",,
30159,CAB 177,CAB,LS,Piyano I,,Alper Rumelioğlu,TMB | TMB,Pazartesi | Çarşamba,13:30/15:29 | 13:30/15:29,,15,6,,"DUI, MTR, MUT, MUZ, SES",,
