CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
30121,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Ömer Özyıldırım,,Pazartesi | Pazartesi,09:30/12:29 | 13:30/17:59,,50,49,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30122,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Evren Dağlarlı,,Pazartesi | Pazartesi,09:30/12:29 | 13:30/17:59,,50,50,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30123,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Ömer Özyıldırım,,Salı | Salı,09:30/12:29 | 13:30/17:59,,50,45,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30124,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Evren Dağlarlı,,Salı | Salı,09:30/12:29 | 13:30/17:59,,50,38,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30125,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Erke Arıbaş,,Çarşamba | Çarşamba,09:30/12:29 | 13:30/17:59,,50,46,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30126,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Erke Arıbaş,,Perşembe | Perşembe,09:30/12:29 | 13:30/17:59,,50,50,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30127,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Berfin Kalay,,Çarşamba | Çarşamba,09:30/12:29 | 13:30/17:59,,50,48,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30128,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Berfin Kalay,,Perşembe | Perşembe,09:30/12:29 | 13:30/17:59,,50,47,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30129,MAK 229,MAK,LS,Akışkanlar Mekaniği II,,Hasan Güneş,,Pazartesi | Salı | Çarşamba,09:00/11:29 | 09:00/11:29 | 09:00/11:29,,80,56,,MAK,,
30140,MAK 353,MAK,LS,İmal Usulleri,,"Murat Vural, Turgut Gülmez",,Pazartesi | Salı,12:00/16:59 | 12:00/16:59,,120,79,,"MAK, MAKM",,
30142,MAK 4018E,MAK,LS,Quality Control in Manufacturi,,Ali Gökşenli,,Pazartesi | Salı | Çarşamba,09:00/11:29 | 09:00/11:29 | 09:00/11:29,,150,122,,"IML, IMLE, MAK, MAKE",,
30143,MAK 104E,MAK,LS,Intr to Comp in Mech. Eng (C),,Kubilay Yay,,Pazartesi | Salı | Çarşamba,09:00/11:29 | 09:00/11:29 | 09:00/11:29,,80,65,,"IML, MAK",,
30146,MAK 202E,MAK,LS,Numerical Meth.for Mech. Eng.,,Adil Yücel,,Cuma | Cuma,09:00/11:29 | 12:00/16:59,,150,140,,"IML, MAK",,
30148,MAK 213,MAK,LS,Malzeme Bilimi,,Levent Trabzon,,Pazartesi | Salı,12:00/16:59 | 12:00/16:59,,80,49,,"IML, MAK",,
30150,MAK 224E,MAK,LS,Engineering Materials,,Levent Trabzon,,Çarşamba | Perşembe,12:00/14:29 | 12:00/14:29,,80,36,,"IML, MAK",,
30151,EHB 211E,EHB,LS,Basics of Electrical Circuits,,Metin Hüner,,Salı | Cuma,13:30/16:59 | 13:30/17:29,,60,60,,"BLG, BLGE, EHB, EHBE, ELE, ELK, ELKE, KOM, KOME, TEL",,
30153,EHB 262E,EHB,LS,Electronics II,,Metin Yazgı,,Salı | Çarşamba | Perşembe,12:30/14:59 | 12:30/14:59 | 12:30/14:59,,80,77,,"EHB, EHBE, ELE, SEH",,
30154,EHB 262E,EHB,LS,Electronics II,,Mustafa Berke Yelten,,Salı | Çarşamba | Perşembe,12:30/14:59 | 12:30/14:59 | 12:30/14:59,,80,47,,"EHB, EHBE, ELE, SEH",,
30155,EHB 362E,EHB,LS,Microwave Engineering,,Mesut Kartal,,Salı | Salı | Perşembe,09:30/11:59 | 12:30/14:59 | 12:30/14:59,,30,24,,"EHB, EHBE, ELE, ELH, TEL",,
30156,BIL 113E,BIL,LS,Intr.to Sci& Eng.Comp.(MATLAB),,Mustafa Resa Becan,,Perşembe | Cuma,12:00/16:59 | 14:30/16:59,,150,155,,"BIO, BIOE, CHZ, DEN, DENE, DUI, DUIE, ECNE, ELH, END, ENDE, GEM, GEME, GEMK, GID, GIDE, GMI, GMIE, GMIK, INS, INSE, ISL, ISLE, JEO, JEOE, KIM, KIME, KMM, KMME, MAD, MADE, MET, METE, TEK, TEKE, UCK, UZBE",,
30157,ELK 331E,ELK,LS,Power Electronic Circuits,,Özgür Üstün,,Salı | Çarşamba,09:30/12:59 | 09:30/13:29,,50,50,,"EHB, EHBE, ELE, ELK, ELKE, KOM, KOME",,
30158,BLG 231,BLG,LS,Sayısal Devreler,,Ali Sinan Çabuk,,Salı | Salı,09:30/12:59 | 13:30/17:29,,40,39,,"BLG, EHB, ELE, ELH, ELK, KOM, MKN, TEL, UZB",,
30159,MAT 281E,MAT,LS,Linear Algebra and Applicat.,,Veysel Murat İstemihan Genç,,Çarşamba | Çarşamba,09:30/12:59 | 13:30/17:29,,50,51,,"BLG, BLGE, EHB, EHBE, ELE, ELK, ELKE, FIZM, KOM, KOME, SEH, TEL, UCKM",,
30160,ELK 226,ELK,LS,Elektrik-Elektronik Müh. Tem.,,Ali Sinan Çabuk,,Çarşamba | Çarşamba,09:30/12:59 | 13:30/17:29,,40,40,,"IML, MAK",,
30161,JEO 112,JEO,LS,Genel Jeoloji,,--,,Perşembe | Perşembe,09:00/12:59 | 14:00/17:29,,0,0,,"MAD, MADM",,
30162,ELK 356,ELK,LS,Elektrik Makinaları,,Murat İmeryüz,,Salı | Perşembe,13:30/16:59 | 10:00/13:59,,50,50,,"ELK, KOM",,
30163,JEO 348,JEO,LS,Sedimanter Kayaç Petrografisi,,--,,Salı | Salı,09:00/12:59 | 14:00/17:29,,0,0,,JEO,,
30164,EKO 201E,EKO,LS,Economics,,Umut Kuruüzüm,,Çarşamba | Çarşamba | Çarşamba,09:00/11:29 | 12:30/14:59 | 15:30/17:59,,300,300,,"BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, ICM, IML, IMLE, INS, INSE, JDF, JEF, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30165,MAL 201E,MAL,LS,Materials Science,,Emin Çiftçi,,Perşembe | Perşembe,09:00/11:59 | 12:30/16:59,,50,53,,"BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELH, ELK, ELKE, FIZ, FIZE, GEM, GEME, GEMK, GID, GIDE, IML, IMLE, INS, INSE, ISL, ISLE, JEO, JEOE, KMM, KMME, KOM, KOME, KON, KONE, MAD, MAK, MAKE, PET, PETE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30166,GEO 209,GEO,LS,Taşınmaz Hukuku,,Mustafa Yanalak,,Cuma | Cuma,09:00/11:59 | 14:00/15:59,,30,25,,GEO,,
30167,GEO 301,GEO,LS,Özel Ölçme Uygulamaları,,Reha Metin Alkan,,Pazartesi | Pazartesi,09:00/12:29 | 14:00/17:59,,30,29,,GEO,,
30168,GEO 308,GEO,LS,Taşınmaz Değerlemesi,,Reha Metin Alkan,,Salı,09:00/13:59,,30,12,,GEO,,
30169,GEO 215E,GEO,LS,Prob.and Stat. for Geom. Eng.,,Esra Erten,,Çarşamba | Çarşamba,09:00/12:29 | 14:00/17:59,,45,36,,"GEO, GEOE",,
30170,GEO 303,GEO,LS,Kadastro Bilgisi,,Mustafa Yanalak,,Salı | Çarşamba,14:30/17:59 | 12:30/13:59,,30,19,,GEO,,
30171,MAT 210,MAT,LS,Mühendislik Matematiği,,Mehmet Ufuk Özerman,,Salı | Çarşamba | Perşembe,15:00/17:59 | 15:00/17:59 | 14:00/17:59,,150,141,,"BIO, BLG, CEV, CHZ, DUI, EHB, ELE, ELH, ELK, END, FIZ, GEO, GMI, INS, JDF, JEF, JEFM, JEO, KIM, MAD, MATM, MET, MTO, PET, TEK, TEL, UCK, UCKM, UZB, UZBM",,
30172,MAT 210,MAT,LS,Mühendislik Matematiği,,Mehmet Ufuk Özerman,,Salı | Çarşamba | Perşembe,09:00/12:59 | 09:00/11:59 | 09:00/11:59,,150,130,,"BIO, BLG, CEV, CHZ, DUI, EHB, ELE, ELH, ELK, END, FIZ, GEO, GMI, INS, JDF, JEF, JEFM, JEO, KIM, MAD, MATM, MET, MTO, PET, TEK, TEL, UCK, UCKM, UZB, UZBM",,
30173,GEO 474,GEO,LS,Hidrografik Ölçmeler,,--,,Çarşamba | Çarşamba,09:00/11:59 | 14:00/15:59,,0,0,,GEO,,
30174,GEO 476,GEO,LS,Geo. Müh. Proje Planlama Yön.,,--,,Perşembe | Perşembe,09:00/11:59 | 14:00/15:59,,0,0,,GEO,,
30175,GEO 478,GEO,LS,Kamulaştırma Tekniği,,Reha Metin Alkan,,Cuma | Cuma,09:00/11:59 | 14:00/15:59,,30,13,,GEO,,
30177,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,,Salı | Çarşamba,13:00/16:59 | 13:00/16:29,,40,50,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, GMIK, IML, IMLE, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, KON, KONE, MAD, MADE, MAK, MAKE, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30178,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,,Salı | Perşembe,09:00/12:29 | 13:30/17:29,,40,52,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, GMIK, IML, IMLE, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, KON, KONE, MAD, MADE, MAK, MAKE, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
