CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
10089,KIM 104,KIM,LS,Organik Kimya,,"İbrahim Ersin Serhatlı, Hacer Ayşen Önen",,Çarşamba,12:30/15:29,,80,75,,"GID, KIMM, KMM",,
10090,KIM 104,KIM,LS,Organik Kimya,,--,,Çarşamba,12:30/15:29,,0,0,,"GID, KIMM, KMM",,
10091,KIM 104L,KIM,LS,Organik Kimya Lab.,,"Hacer Ayşen Önen, İbrahim Ersin Serhatlı",,Perşembe,08:30/10:29,,100,78,,"GID, KMM",,
10092,KIM 111,KIM,LS,Genel Kimya I,,İsmail Yılmaz,,Pazartesi | Salı,10:30/12:29 | 11:30/13:29,,40,40,,"KIM, KIMM",,
10093,KIM 111,KIM,LS,Genel Kimya I,,Makbule Koçak,,Pazartesi | Salı,10:30/12:29 | 11:30/13:29,,40,34,,"KIM, KIMM",,
10094,KIM 111L,KIM,LS,Genel Kimya I Lab,,"İsmail Yılmaz, Makbule Koçak",,Salı,09:30/11:29,,80,70,,KIM,,
10095,KIM 111L,KIM,LS,Genel Kimya I Lab,,--,,Salı,09:30/11:29,,0,0,,KIM,,
10096,KIM 113,KIM,LS,Kimyaya Giriş ve Etik,,Barış Yücel,,Çarşamba,13:30/15:29,,100,82,,KIM,,
10097,KIM 114,KIM,LS,Genel Kimya II,,"Zehra Bayır, Ozan Sanlı Şentürk",,Pazartesi | Çarşamba,11:30/13:29 | 10:30/12:29,,30,19,,"KIM, KIMM",,
10098,KIM 114L,KIM,LS,Genel Kimya II Lab.,,"Zehra Bayır, Ozan Sanlı Şentürk",,Pazartesi,13:30/16:29,,30,17,,KIM,,
10099,KIM 202,KIM,LS,Fiziksel Kimya,,"Esma Sezer, Bahire Filiz Şenkal",,Pazartesi,14:30/17:29,,70,38,,"BIO, CEV, CHZ, DEN, DUI, ELE, ELH, ELK, GEM, GID, GMI, INS, JEO, KIMM, KMM, KMMM, KYD, MAD, MET, PET, TEL",,
10100,KIM 202E,KIM,LS,Physical Chemistry,,Argun Talat Gökçeören,,Pazartesi,14:30/17:29,,45,25,,"BIOE, CEV, CEVE, CHZE, DENE, ELKE, GEME, GEMK, GIDE, INS, INSE, JEOE, KMM, KMME, MADE, METE, PETE",,
10101,KIM 202E,KIM,LS,Physical Chemistry,,Erdem Yavuz,,Pazartesi,14:30/17:29,,45,45,,"BIOE, CEV, CEVE, CHZE, DENE, ELKE, GEME, GEMK, GIDE, INS, INSE, JEOE, KMM, KMME, MADE, METE, PETE",,
10102,KIM 202EL,KIM,LS,Physical Chemistry Lab,,"Esma Sezer, Bahire Filiz Şenkal, Orhan Güney",,Cuma,08:30/10:29,,40,14,,"KMM, KMME, PET",,
10103,KIM 203,KIM,LS,Analitik Kimya,,Gülçin Yılmaz,,Pazartesi,14:30/17:29,,50,35,,"BIO, CHZ, DEN, ELE, ELH, ELK, GEM, JEO, MAD, MET, PET, TEL",,
10104,KIM 203E,KIM,LS,Analytical Chemistry,,Ferah Çalışır,,Pazartesi,14:30/17:29,,50,48,,"BIO, BIOE, CHZ, CHZE, DEN, DENE, ELE, ELH, ELK, ELKE, GEM, GEME, GEMK, JEO, JEOE, MAD, MADE, MET, METE, PET, PETE, TEL",,
10105,KIM 203E,KIM,LS,Analytical Chemistry,,Sevgi Güney,,Pazartesi,14:30/17:29,,50,27,,"BIO, BIOE, CHZ, CHZE, DEN, DENE, ELE, ELH, ELK, ELKE, GEM, GEME, GEMK, JEO, JEOE, MAD, MADE, MET, METE, PET, PETE, TEL",,
10107,KIM 205,KIM,LS,Organik Kimya,,Gönül Yapar,,Çarşamba,08:30/11:29,,50,44,,"BIO, BIOM, CEV, CHZ, DEN, ELE, ELH, ELK, GEM, INS, JEO, KIMM, KYD, MAD, MET, PET, TEL",,
10108,KIM 205E,KIM,LS,Organic Chemistry,,Hakan Durmaz,,Çarşamba,08:30/11:29,,40,40,,"BIOM, CEV, CEVE, CHZE, DENE, ELKE, GEME, GEMK, INS, INSE, JEOE, KIM, KIMM, MADE, MET, METE, PETE, TEKE",,
10109,KIM 205E,KIM,LS,Organic Chemistry,,Nesrin Köken,,Çarşamba,08:30/11:29,,40,17,,"BIOM, CEV, CEVE, CHZE, DENE, ELKE, GEME, GEMK, INS, INSE, JEOE, KIM, KIMM, MADE, MET, METE, PETE, TEKE",,
10110,KIM 205E,KIM,LS,Organic Chemistry,,Abdullah Aydoğan,,Çarşamba,08:30/11:29,,40,39,,"BIOM, CEV, CEVE, CHZE, DENE, ELKE, GEME, GEMK, INS, INSE, JEOE, KIM, KIMM, MADE, MET, METE, PETE, TEKE",,
10111,KIM 206,KIM,LS,Analitik Kimya & Enst Analizi,,Nevin Öztekin,,Salı,14:30/17:29,,50,45,,"GID, KIMM, KMM, KYD",,
10112,KIM 207,KIM,LS,İnorganik Kimya,,Ayfer Kalkan Burat,,Perşembe,14:30/17:29,,50,47,,"CHZ, DEN, ELE, ELH, ELK, FIZ, GEM, JEO, KIMM, KMM, KYD, MAD, PET, TEL",,
10113,KIM 208,KIM,LS,İleri Organik Kimya,,--,,Salı,08:30/11:29,,0,0,,"CHZ, DEN, ELE, ELH, ELK, GEM, JEO, KIMM, KMM, KYD, MAD, PET, TEL",,
10114,KIM 210E,KIM,LS,Intro to Polymer Chemistry,,Barış Kışkan,,Pazartesi,14:30/17:29,,60,50,,"BIO, BIOE, KIM, KIME, KIMM, TEK, TEKE",,
10115,KIM 211E,KIM,LS,Analytical Chemistry,,Ferah Çalışır,,Salı | Cuma,08:30/10:29 | 08:30/10:29,,50,50,,"KIM, KIME, KIMM",,
10116,KIM 211E,KIM,LS,Analytical Chemistry,,İpek Becerik,,Salı | Cuma,08:30/10:29 | 08:30/10:29,,50,36,,"KIM, KIME, KIMM",,
10117,KIM 211L,KIM,LS,Analitik Kimya Lab,,Ferah Çalışır,,Çarşamba,10:30/15:29,,30,0,,KIM,,
10118,KIM 211L,KIM,LS,Analitik Kimya Lab,,"İpek Becerik, Ferah Çalışır",,Çarşamba,10:30/15:29,,80,72,,KIM,,
10119,KIM 219E,KIM,LS,Comp.Applications in Chemistry,,"Abdullah Aydoğan, Cüneyt Hüseyin Ünlü",,Perşembe,13:30/17:29,,80,67,,KIM,,
10120,KIM 223,KIM,LS,Anorganik Kimya I,,Zehra Bayır,,Perşembe,08:30/11:29,,30,32,,"KIM, KIMM",,
10121,KIM 223,KIM,LS,Anorganik Kimya I,,Esin Hamuryudan,,Perşembe,08:30/11:29,,30,30,,"KIM, KIMM",,
10122,KIM 223E,KIM,LS,Inorganic Chemistry I,,Ozan Sanlı Şentürk,,Perşembe,08:30/11:29,,30,21,,"KIM, KIME",,
10123,KIM 224E,KIM,LS,Inorganic Chemistry II,,Altuğ Mert Sevim,,Cuma,08:30/11:29,,30,10,,"KIM, KIME",,
10124,KIM 231,KIM,LS,Organik Kimya I,,Turan Öztürk,,Pazartesi | Salı,12:30/14:29 | 10:30/12:29,,25,24,,"KIM, KIMM",,
10125,KIM 231L,KIM,LS,Organik Kimya Lab. I,,"İbrahim Volkan Kumbaracı, Ufuk Saim Günay",,Perşembe,12:30/17:29,,50,36,,KIM,,
10126,KIM 232,KIM,LS,Organik Kimya II,,Gürkan Hızal,,Pazartesi | Salı,11:30/13:29 | 11:30/13:29,,60,55,,KIM,,
10127,KIM 232,KIM,LS,Organik Kimya II,,Emine Naciye Talınlı,,Salı | Çarşamba,10:30/12:29 | 10:30/12:29,,30,0,,KIM,,
10128,KIM 232L,KIM,LS,Organik Kimya Lab. II,,"Abdullah Aydoğan, Ayşe Özdemir, Nesrin Köken",,Cuma,12:30/17:29,,50,15,,KIM,,
10129,KIM 252,KIM,LS,Kimyasal Termodinamik,,"Nermin Orakdöğen, Oğuz Okay",,Pazartesi,08:30/11:29,,50,35,,"KIM, KIMM",,
