CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
20027,RUS 102,RUS,LS,Rusça II,,Ekaterina Bal,,Perşembe,08:30/12:29,,25,21,,Tüm Lisans ve Lisansüstü Programlar,,
20028,ALM 101,ALM,LS,Almanca I,,İnanç Bakkalbaşı,,Pazartesi,08:30/12:29,,28,27,,Tüm Lisans ve Lisansüstü Programlar,,
20029,ALM 101,ALM,LS,Almanca I,,İnanç Bakkalbaşı,,Salı,08:30/12:29,,28,28,,Tüm Lisans ve Lisansüstü Programlar,,
20030,ALM 102,ALM,LS,Almanca II,,İnanç Bakkalbaşı,,Perşembe,08:30/12:29,,28,27,,Tüm Lisans ve Lisansüstü Programlar,,
20031,ALM 401,ALM,LS,Almanca VII,,Vanessa Zogopoulou,,Cuma,08:30/12:29,,20,13,,Tüm Lisans ve Lisansüstü Programlar,,
20032,ALM 102,ALM,LS,Almanca II,,İnanç Bakkalbaşı,,Cuma,08:30/12:29,,28,28,,Tüm Lisans ve Lisansüstü Programlar,,
20034,ALM 201,ALM,LS,Almanca III,,Vanessa Zogopoulou,,Salı,13:30/17:29,,28,27,,Tüm Lisans ve Lisansüstü Programlar,,
20035,ALM 302,ALM,LS,Almanca VI,,Vanessa Zogopoulou,,Perşembe,13:30/17:29,,25,19,,Tüm Lisans ve Lisansüstü Programlar,,
20036,ALM 301,ALM,LS,Almanca V,,Vanessa Zogopoulou,,Cuma,14:00/17:59,,25,19,,Tüm Lisans ve Lisansüstü Programlar,,
20042,FRA 101,FRA,LS,Fransızca I,,Hilal Küçük,,Pazartesi,08:30/12:29,,26,26,,Tüm Lisans ve Lisansüstü Programlar,,
20043,FRA 101,FRA,LS,Fransızca I,,Hilal Küçük,,Salı,08:30/12:29,,26,27,,Tüm Lisans ve Lisansüstü Programlar,,
20044,FRA 102,FRA,LS,Fransızca II,,Hilal Küçük,,Perşembe,13:30/17:29,,26,25,,Tüm Lisans ve Lisansüstü Programlar,,
