CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
10001,FIZ 284,FIZ,LS,Klasik Mekanik I,,Mehmet Cem Güçlü,FEB | FEB,Pazartesi | Cuma,10:30/12:29 | 10:30/12:29,,70,76,,"FIZ, FIZM",,
10002,FIZ 415E,FIZ,LS,Quantum Mechanics II,,Cem Özgür Servantie,FEB | FEB | FEB,Pazartesi | Çarşamba | Cuma,08:30/10:29 | 08:30/10:29 | 08:30/09:29,,75,23,,"FIZ, FIZE",,
10003,FIZ 213,FIZ,LS,Elektrik ve Manyetizma,,Cenap Şahabettin Özben,FEB | FEB | FEB,Pazartesi | Çarşamba | Cuma,08:30/10:29 | 08:30/10:29 | 08:30/09:29,,85,87,,"FIZ, FIZM",,
10004,FIZ 114E,FIZ,LS,Physics of Continuous Media,,Esra Alveroğlu Durucu,FEB | FEB,Pazartesi | Çarşamba,08:30/10:29 | 08:30/10:29,,75,36,,"FIZ, FIZE, FIZM",,
10006,ING 101,ING,LS,English I,,Aslı Özkara,MED,Salı,08:30/11:29,,25,24,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
10007,ING 101,ING,LS,English I,,Aslı Özkara,MED,Çarşamba,11:30/14:29,,25,25,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
10008,ING 101,ING,LS,English I,,Aslı Özkara,MED,Perşembe,13:30/16:29,,25,25,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
10009,ING 101,ING,LS,English I,,Aslı Özkara,MED,Cuma,08:30/11:29,,25,23,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
10010,ING 102,ING,LS,English II,,İmge Şahin Girtten,MEDB,Salı,13:30/16:29,,25,26,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
10011,ING 112,ING,LS,English I,,İmge Şahin Girtten,MEDB,Çarşamba,11:30/14:29,,22,24,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
