CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
10001,ALM 102,ALM,LS,Almanca II (Kredisiz),,İnanç Bakkalbaşı,MEDB,Pazartesi,08:30/12:29,,30,29,,Tüm Lisans ve Lisansüstü Programlar,,
10003,ALM 102,ALM,LS,Almanca II (Kredisiz),,İnanç Bakkalbaşı,MED,Perşembe,08:30/12:29,,35,35,,Tüm Lisans ve Lisansüstü Programlar,,
10004,ALM 102,ALM,LS,Almanca II (Kredisiz),,İnanç Bakkalbaşı,MED,Cuma,08:30/12:29,,35,35,,Tüm Lisans ve Lisansüstü Programlar,,
10005,ALM 202,ALM,LS,Almanca IV (Kredisiz),,Vanessa Zogopoulou,MEDB,Çarşamba,08:30/12:29,,30,17,,Tüm Lisans ve Lisansüstü Programlar,,
10006,ALM 202,ALM,LS,Almanca IV (Kredisiz),,Vanessa Zogopoulou,MEDB,Salı,13:30/17:29,,30,19,,Tüm Lisans ve Lisansüstü Programlar,,
10007,FRA 101,FRA,LS,Fransızca I(Kredisiz),,Yelda Tavukçuoğlu,DZB,Salı,13:30/17:29,,25,3,,Tüm Lisans ve Lisansüstü Programlar,,
10008,ALM 201,ALM,LS,Almanca III (Kredisiz),,Vanessa Zogopoulou,MEDB,Çarşamba,13:30/17:29,,35,35,,Tüm Lisans ve Lisansüstü Programlar,,
10009,ALM 301,ALM,LS,Almanca V (Kredisiz),,Vanessa Zogopoulou,MED,Perşembe,13:30/17:29,,30,20,,Tüm Lisans ve Lisansüstü Programlar,,
10010,ING 103I,ING,LS,Short Stories,,Yasemin Yılmaz Yüksek,MED,Perşembe,13:30/16:29,,27,28,,"BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUIE, ECNE, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMIE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, MUZE, PEM, PEME, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
10012,FRA 302,FRA,LS,Fransızca VI (Kredisiz),,Celine Anne Helene Gravey,MED,Perşembe,13:30/17:29,,30,5,,Tüm Lisans ve Lisansüstü Programlar,,
10013,FRA 102,FRA,LS,Fransızca II (Kredisiz),,Severine Genevieve Laurence Giordan,MED,Salı,13:30/17:29,,25,13,,Tüm Lisans ve Lisansüstü Programlar,,
10014,FRA 102,FRA,LS,Fransızca II (Kredisiz),,Yelda Tavukçuoğlu,DIB,Çarşamba,13:30/17:29,,25,25,,Tüm Lisans ve Lisansüstü Programlar,,
