CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
30065,EKO 201E,EKO,LS,Economics,,"Mete Han Yağmur, Umut Kuruüzüm",,Çarşamba | Çarşamba | Çarşamba,09:00/11:29 | 12:30/14:59 | 15:30/17:59,,350,357,,"BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, ICM, IML, IMLE, INS, INSE, JDF, JEF, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE",,
30066,HUK 201,HUK,LS,İş Hukuku,,Mahmut Kabakcı,,Cuma | Cuma,09:00/12:29 | 14:00/17:59,,200,137,,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, EHB, EHBE, ELE, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IML, IMLE, INS, INSE, JDF, JEF, JEFE, KIM, KIME, KOM, KOME, MAD, MADE, MAK, MAKE, TEK, TEKE, UCK, UCKE, UZB, UZBE",,
30067,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,,Pazartesi | Çarşamba,13:30/16:59 | 09:00/12:59,,50,56,,"AIN, BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, GMIK, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, KON, KONE, MAD, MADE, MAK, MAKE, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30068,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,,Salı | Çarşamba,09:00/12:29 | 13:30/17:29,,50,57,,"AIN, BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, GMIK, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, KON, KONE, MAD, MADE, MAK, MAKE, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30069,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,,Salı | Perşembe,13:30/16:59 | 13:30/17:29,,50,59,,"AIN, BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, GMIK, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, KON, KONE, MAD, MADE, MAK, MAKE, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30070,BLG 223E,BLG,LS,Data Structures,,Tolga Ovatman,,Pazartesi | Pazartesi | Çarşamba | Çarşamba,09:00/11:59 | 16:00/17:59 | 09:00/11:59 | 16:00/17:59,,50,69,,"BLG, BLGE",,
30071,BIL 112E,BIL,LS,Intr.to Prog.Language(FORTRAN),,Doğa Doğan,,Salı | Perşembe,09:00/12:59 | 09:00/12:29,,30,27,,"JEF, JEFE",,
30072,GEO 107,GEO,LS,Analitik Geometri&Vektör Hesab,,--,,Perşembe | Perşembe,09:00/12:29 | 14:00/17:59,,0,0,,GEO,,
30073,GEO 215E,GEO,LS,Prob.and Stat. for Geom. Eng.,,Esra Erten,,Çarşamba | Çarşamba,09:00/12:29 | 14:00/17:59,,50,44,,"GEO, GEOE",,
30078,END 355E,END,LS,Production Methods,,Esra Baş,,Pazartesi | Pazartesi,09:00/12:29 | 14:00/15:29,,50,37,,"END, ENDE",,
30079,END 252E,END,LS,Theory of Probability,,Kutay Tinç,,Cuma | Cuma,09:00/13:29 | 14:30/17:29,,75,74,,"END, ENDE",,
30080,END 332E,END,LS,Operations Research II,,Kutay Tinç,,Perşembe | Perşembe,09:00/13:29 | 14:30/17:29,,90,94,,"END, ENDE",,
30081,STA 202,STA,LS,Statik,,Abdul Hayır,,Pazartesi | Salı | Çarşamba,09:00/12:59 | 14:00/17:59 | 14:00/15:59,,30,15,,"FIZ, INS, MKNM, UCKM",,
