CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
30145,MAK 220,MAK,LS,Mukavemet II,,Adil Yücel,MKB | MKB,Salı | Perşembe,12:30/17:29 | 12:30/17:29,,150,119,,"MAK, MKN",,
30146,MAK 339,MAK,LS,Makina Elemanları I,,Hacı Abdullah Taşdemir,MKB | MKB | MKB,Pazartesi | Cuma | Cuma,11:30/17:29 | 08:30/12:29 | 15:00/17:29,,120,70,,"MAK, MKN",,
30147,MEK 205E,MEK,LS,Engineering Mechanics,,Hacı Abdullah Taşdemir,MKB | MKB,Pazartesi | Salı,08:30/10:59 | 12:30/17:29,,120,43,,"CHZ, CHZE, END, ENDE, GIDE, GMI, GMIE, IMLE, ISLE, JEF, JEFE, JEO, JEOE, MAD, MADE, MADM, PETE, TEKE",,
30148,MIM 411E,MIM,LS,Architectural Design VII,,Cemile Tiftik,MMB | MMB | MMB | MMB | MMB,Pazartesi | Pazartesi | Salı | Perşembe | Perşembe,09:00/12:59 | 13:30/17:29 | 13:30/17:29 | 09:00/12:59 | 13:30/17:29,,17,11,,"ASS, MIM, MIME",,
30149,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,INB | INB,Salı | Çarşamba,09:00/12:59 | 13:30/16:59,,60,80,,"AIN, BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30150,MIM 4056E,MIM,LS,Design & Fabric.Tech. in Arch.,,Sema Alaçam,MMB | MMB,Çarşamba | Çarşamba,09:00/12:29 | 13:30/17:29,,30,21,,"ENTE, EUT, EUTE, EUTM, ICM, ICMM, MIM, MIME, PEM, PEME",,
30151,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,INB | INB,Salı | Perşembe,13:30/16:59 | 09:00/12:59,,60,58,,"AIN, BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30152,MAT 271E,MAT,LS,Probability and Statistics,,Mustafa Sait Yazgan,INB | INB,Çarşamba | Perşembe,09:00/12:59 | 13:30/16:59,,60,87,,"AIN, BIO, BIOE, BLG, BLGE, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, EHB, EHBE, ELE, ELH, ELK, ELKE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IMLM, INS, INSE, JDF, JEF, JEFE, JEO, JEOE, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MATM, MET, METE, MTO, MTOE, PET, PETE, SBP, SBPE, SEH, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",,
30153,EUT 326E,EUT,LS,Ceramics Design and Technology,,Aynur Karakaş Karaağaç,MMB | MMB,Çarşamba | Çarşamba,08:30/12:29 | 13:30/16:59,,15,13,,"ENTE, EUT, EUTE, EUTM",,
30154,EUT 342E,EUT,LS,Law and Legal Issues in Design,,Özgür Öztürk,MMB | MMB,Pazartesi | Salı,13:30/17:29 | 13:30/16:59,,20,18,,"ENTE, EUT, EUTE",,
