CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
30080,UCK 305E,UCK,LS,Aerodynamics,,Hayri Acar,MEDC | MEDC,Salı | Çarşamba,09:00/12:59 | 09:00/11:59,1D10 | 1D10,50,0,,"UCK_LS, UZB_LS, UZBE_LS",,
30081,UZB 310E,UZB,LS,Compressible Aerodynamics,,Hayri Acar,MEDC | MEDC,Salı | Perşembe,14:00/16:59 | 09:00/12:59,1D10 | 1D10,50,0,,"UCK_LS, UCK_YD, UZB_LS, UZBE_LS",,
30082,UCK 322E,UCK,LS,Flight Mechanics,,Hayri Acar,MEDC | MEDC,Çarşamba | Perşembe,13:00/16:59 | 14:00/16:59,1D10 | 1D10,50,0,,"UCK_LS, UCK_YD",,
30083,MTO 214,MTO,LS,Atmosfer Termodinamiği,,Kasım Koçak,MEDC | MEDC,Pazartesi | Salı,12:30/17:29 | 12:30/16:59,2D12 | 2D12,30,0,,"IBM_LS, MTO_LS",,
30084,MTO 311E,MTO,LS,Data Analysis,,Kasım Koçak,MEDC | MEDC | MEDC | MEDC,Çarşamba | Çarşamba | Perşembe | Perşembe,08:30/11:29 | 13:30/16:29 | 08:30/12:29 | 13:30/15:29,2D12 | 2D12 | 2D12 | 2D12,30,0,,"IBM_LS, MTO_LS",,
30085,BIL 112E,BIL,LS,Intr.to Prog.Language(FORTRAN),,Ahmet Öztopal,MEDC | MEDC,Perşembe | Perşembe,09:30/12:29 | 13:30/17:29,2D13 | 2D13,20,0,,"IBM_LS, MTO_LS",,
30086,MYZ 312,MYZ,LS,Meteorolojide Makine Öğrenmesi,,Ahmet Öztopal,MEDC | MEDC,Cuma | Cuma,08:30/12:29 | 14:30/17:29,2D13 | 2D13,20,0,,"IBM_LS, MTO_LS",,
30087,MTO 340,MTO,LS,Atmosfer Dinamiği II,,Elçin Tan,MEDC | MEDC,Salı | Çarşamba,13:00/17:29 | 12:30/17:29,2D11 | 2D11,30,0,,"IBM_LS, MTO_LS",,
30088,BIL 100E,BIL,LS,Intr.to Prog.Language(PYTHON),,Ahmet Öztopal,MEDC | MEDC,Çarşamba | Çarşamba,09:30/12:29 | 13:30/17:29,2D13 | 2D13,20,0,,"IBM_LS, MTO_LS",,
30100,MAT 287,MAT,LS,Matematik III,,Kamil Oruçoğlu,FEB | FEB | FEB,Pazartesi | Salı | Çarşamba,08:30/12:29 | 08:30/12:29 | 08:30/12:29,D206 | D206 | D206,50,0,,"MAT_LS, MAT_YD_EC, MAT_YD_TE, MAT_YD_UY",,
30101,MAT 234,MAT,LS,Kısmi Diferansiyel Denklemler,,Kamil Oruçoğlu,FEB | FEB,Pazartesi | Salı,13:30/16:59 | 13:30/16:59,D206 | D206,50,0,,"MAT_LS, MAT_YD_EC, MAT_YD_TE, MAT_YD_UY",,
30102,TUR 121,TUR,LS,Türk Dili I,,Hasan Ulucutsoy,MED | MED,Çarşamba | Perşembe,09:30/11:59 | 09:30/11:59,,40,0,,"ARC_LS, BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, BST_LS, CAB_3T_LS, CAB_4T_LS, CAB_BG_LS, CAB_DL_LS, CAB_DS_LS, CAB_KA_LS, CAB_KE_LS, CAB_KL_LS, CAB_KM_LS, CAB_KO_LS, CAB_LS, CAB_ME_LS, CAB_NE_LS, CAB_TA_LS, CAB_TN_LS, CAB_UD_LS, CAB_VC_LS, CAB_VI_LS, CAB_VS_LS, CEB_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, ESS_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KMP_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTM_LS, MTO_LS, MTOE_LS, MTR_LS, MUT_LS, MUZ_LS, MUZE_LS, MZT_LS, NAE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, SES_LS, SES_TH_LS, SES_TS_LS, STP_LS, TEK_LS, TEKE_LS, TEL_LS, THO_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",,
30103,TUR 121,TUR,LS,Türk Dili I,,Hasan Ulucutsoy,MED | MED,Perşembe | Cuma,12:30/14:59 | 09:30/11:59,,40,0,,"ARC_LS, BIO_LS, BIOE_LS, BLG_LS, BLGE_LS, BST_LS, CAB_3T_LS, CAB_4T_LS, CAB_BG_LS, CAB_DL_LS, CAB_DS_LS, CAB_KA_LS, CAB_KE_LS, CAB_KL_LS, CAB_KM_LS, CAB_KO_LS, CAB_LS, CAB_ME_LS, CAB_NE_LS, CAB_TA_LS, CAB_TN_LS, CAB_UD_LS, CAB_VC_LS, CAB_VI_LS, CAB_VS_LS, CEB_LS, CEN_LS, CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, DEN_LS, DENE_LS, ECNE_LS, EEE_LS, EFN_LS, EHB_LS, EHBE_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, ESS_LS, EUT_LS, EUTE_LS, FIZ_LS, FIZE_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, HTA_LS, HTAE_LS, IAD_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, IND_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEFE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KMP_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MAK_LS, MAKE_LS, MAT_LS, MATE_LS, MEN_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MMD_LS, MTM_LS, MTO_LS, MTOE_LS, MTR_LS, MUT_LS, MUZ_LS, MUZE_LS, MZT_LS, NAE_LS, PEM_LS, PEME_LS, PET_LS, PETE_LS, ROS_LS, ROSE_LS, SAO_OL, SBP_LS, SBPE_LS, SECE_LS, SES_LS, SES_TH_LS, SES_TS_LS, STP_LS, TEK_LS, TEKE_LS, TEL_LS, THO_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",,
