CRN,Ders Kodu,Branş,Seviye,Ders Adı,Öğretim Yöntemi,Öğretim Üyesi,Bina,Gün,Saat,Derslik,Kontenjan,Yazılan,Rezervasyon,Alabilen Programlar,Önşart,Sınıf/Kredi Önşartı
11053,MUZ 121,MUZ,LS,Müzik Tarihi I,,Atilla Coşkun Toksoy,TMB,Cuma,15:30/17:29,,35,12,,"CAB, MTR, MUT, SES",,
11060,MUZ 475,MUZ,LS,Türk Halk Müziği Bilgileri I,,Süleyman Şenel,TMB,Çarşamba,08:30/10:29,,50,42,,"CAB, ETMM, KMP, MTR, MUT, MUZ, SES, THO",,
11063,MUZ 111,MUZ,LS,Müzikte Araştırma Yönt. Giriş,,Miltiadis Pappas,TMB,Cuma,09:30/12:29,,30,9,,"ETMM, MTR, MUZ",,
11065,MUZ 121,MUZ,LS,Müzik Tarihi I,,Atilla Coşkun Toksoy,TMB,Çarşamba,10:30/12:29,,35,28,,"CAB, MTR, MUT, SES",,
11067,MUZ 497,MUZ,LS,Müzik Felsefesine Giriş,,Yalçın Çetinkaya,TMB,Cuma,10:30/12:29,,25,25,,"CAB, KMP, MTR, MUT",,
11069,MUZ 101,MUZ,LS,Müzik Tarihi I,,Ozan Baysal,TMB,Pazartesi,10:30/12:29,,20,2,,MUZ,,
11071,MUZ 211,MUZ,LS,Osmanlıca I,,Ali Yayla,TMB,Pazartesi,13:30/16:29,,20,19,,MUZ,,
11074,MUZ 201,MUZ,LS,Müzik Tarihi III,,"Gözde Çolakoğlu Sarı, Serhan Dilhan Konan",TMB,Salı,13:30/16:29,,20,14,,MUZ,,
11075,MUZ 321,MUZ,LS,Organolojiye Giriş,,Günay Koçhan Flower,TMB,Perşembe,08:30/10:29,,25,25,,"CAB, ETMM, MTR, MUT, MUZ",,
11081,MUZ 486,MUZ,LS,Müzik Pedagojisine Giriş,,Atilla Coşkun Toksoy,TMB,Salı,09:30/12:29,,25,14,,"CAB, MUZ",,
11085,MUZ 357,MUZ,LS,İleri Osmanlıca I,,Ali Yayla,TMB,Cuma,13:30/15:29,,20,5,,"MUZ, MUZE",,
11088,MUZ 379,MUZ,LS,Dini Müzik I,,Yalçın Çetinkaya,TMB,Cuma,15:30/17:29,,20,20,,"KMP, MTR, MUZ, SES",,
11090,MUZ 451,MUZ,LS,Arapça III,,Erdal Kılıç,TMB,Perşembe,08:30/10:29,,20,1,,"MUZ, MUZE",,
11093,MUZ 453,MUZ,LS,Farsça III,,Erdal Kılıç,TMB,Perşembe,13:30/15:29,,20,0,,"MUZ, MUZE",,
11097,MUZ 487,MUZ,LS,Müzik Felsefesine Giriş,,Yalçın Çetinkaya,TMB,Salı,13:30/16:29,,20,5,,MUZ,,
11100,MUZ 491,MUZ,LS,Eleştirel Okumak ve Yazmak,,Eray Cömert,TMB,Salı,13:30/16:29,,20,0,,MUZ,,
11116,MUZ 431,MUZ,LS,Gelnksl Drama Snatı ve Müzik,,Süleyman Şenel,TMB,Salı,09:30/12:29,,20,3,,MUZ,,
11119,MUZ 447,MUZ,LS,19. Yüzyıl Osmanlı Müziği,,Yalçın Çetinkaya,TMB,Pazartesi,09:30/12:29,,20,6,,MUZ,,
11122,MUZ 411,MUZ,LS,Türkiye Müzik Kültrlerne Giriş,,Serkan Şener,TMB,Çarşamba,10:30/12:29,,20,9,,"ETMM, MUZ",,
11133,MUZ 401,MUZ,LS,Müzik Tarihi VII,,Atilla Coşkun Toksoy,TMB,Cuma,13:30/15:29,,20,13,,MUZ,,
11160,MUZ 441,MUZ,LS,Seminer III,,Yalçın Çetinkaya,TMB,Çarşamba,13:30/15:29,,20,13,,MUZ,,
